Title,Price,Rating,Link,Image
"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN","₹61,990",4.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTIyMDY5OTU2NDg5MzA5OjE3NjA1MzE1Mjk6c3BfYXRmOjMwMDc2ODg5NzkzNDUzMjo6MDo6&url=%2FLenovo-Smartchoice-I7-13620H-Keyboard-83K100CJIN%2Fdp%2FB0F2162VGQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8%26dib_tag%3Dse%26keywords%3DLenovo%2BLaptop%26qid%3D1760531529%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=kiln6jeQRt&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg), 83K100PLIN","₹57,990",4.2 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTIyMDY5OTU2NDg5MzA5OjE3NjA1MzE1Mjk6c3BfYXRmOjMwMDc2ODg5NzkzNDczMjo6MDo6&url=%2FLenovo-IdeaPad-i5-13420H-Keyboard-83K100PLIN%2Fdp%2FB0FCY7BTCX%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8%26dib_tag%3Dse%26keywords%3DLenovo%2BLaptop%26qid%3D1760531529%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Or5PZ3n6pX&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71D9HSayVSL._AC_UY218_.jpg
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","₹34,490",4.0 out of 5 stars,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-3,https://m.media-amazon.com/images/I/71aup0IO2ZL._AC_UY218_.jpg
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","₹25,979",4.1 out of 5 stars,https://www.amazon.in/Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-4,https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg
"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg, 83CCA08KIN","₹33,990",4.0 out of 5 stars,https://www.amazon.in/Lenovo-Windows-1920x1080-Antiglare-83CCA08KIN/dp/B0FNS215RC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-5,https://m.media-amazon.com/images/I/61GEVNI14hL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 3, Intel Core 12th Gen, 8GB RAM, 512GB SSD, FHD 15.6""(39.62cm), Windows 11, Office Home 2024, Arctic Grey, 1.63Kg, 82RK01ABIN, Intel UHD Graphics, Thin & Light, 1Yr ADP Free Laptop","₹31,990",3.9 out of 5 stars,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82RK006DIN/dp/B0B4JPC8GT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-6,https://m.media-amazon.com/images/I/81+SKGgJ9yL._AC_UY218_.jpg
"Lenovo 14 (2025), Intel Core i3 13th Gen 1315U - (24 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.4 kg/MS Office 2021","₹36,660",No rating,https://www.amazon.in/dp/B0FRYJSSTX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-7,https://m.media-amazon.com/images/I/51ONzUTpdEL._AC_UY218_.jpg
"Lenovo V15 G4 (2024), AMD Ryzen 3 7320U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Arctic Grey/1.57 kg/MS Office 2021","₹27,040",3.9 out of 5 stars,https://www.amazon.in/Lenovo-V15-Ryzen-7320U-Quad/dp/B0DHFSN5M7/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-8,https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg
"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN","₹61,990",4.0 out of 5 stars,https://www.amazon.in/Lenovo-Smartchoice-I7-13620H-Keyboard-83K100CJIN/dp/B0F2162VGQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-9,https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","₹35,370",4.0 out of 5 stars,https://www.amazon.in/Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-10,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg
